[2024-04-21 16:17:26,604: INFO: main: welcome to log]
[2024-04-21 16:39:02,096: INFO: main: welcome to log]
[2024-04-21 16:40:03,968: INFO: main: welcome to log]
[2024-04-21 19:43:33,755: INFO: common: yaml file: D:\newfolder\Kidney-Disease-Classification-Deep-Learning-Project\config\config.yaml loaded successfully]
[2024-04-21 19:43:33,757: INFO: common: yaml file: D:\newfolder\Kidney-Disease-Classification-Deep-Learning-Project\params.yaml loaded successfully]
[2024-04-21 19:43:33,760: INFO: common: created directory at: artifacts]
[2024-04-21 19:43:33,762: INFO: common: created directory at: artifacts/data_ingestion]
[2024-04-21 19:43:33,763: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-04-21 19:45:42,214: INFO: common: yaml file: D:\newfolder\Kidney-Disease-Classification-Deep-Learning-Project\config\config.yaml loaded successfully]
[2024-04-21 19:45:42,216: INFO: common: yaml file: D:\newfolder\Kidney-Disease-Classification-Deep-Learning-Project\params.yaml loaded successfully]
[2024-04-21 19:45:42,217: INFO: common: created directory at: artifacts]
[2024-04-21 19:45:42,218: INFO: common: created directory at: artifacts/data_ingestion]
[2024-04-21 19:45:42,219: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1IbGUVXwE4R0kgrk9eC8blUw1LkEIawcF/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-04-21 19:45:48,685: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1IbGUVXwE4R0kgrk9eC8blUw1LkEIawcF/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-04-21 19:47:42,752: INFO: common: yaml file: D:\newfolder\Kidney-Disease-Classification-Deep-Learning-Project\config\config.yaml loaded successfully]
[2024-04-21 19:47:42,752: INFO: common: yaml file: D:\newfolder\Kidney-Disease-Classification-Deep-Learning-Project\params.yaml loaded successfully]
[2024-04-21 19:47:42,752: INFO: common: created directory at: artifacts]
[2024-04-21 19:47:42,758: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-04-21 19:47:43,106: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-04-21 19:48:12,200: INFO: common: yaml file: D:\newfolder\Kidney-Disease-Classification-Deep-Learning-Project\config\config.yaml loaded successfully]
[2024-04-21 19:48:12,202: INFO: common: yaml file: D:\newfolder\Kidney-Disease-Classification-Deep-Learning-Project\params.yaml loaded successfully]
[2024-04-21 19:48:12,204: INFO: common: created directory at: artifacts]
[2024-04-21 19:48:12,204: INFO: common: created directory at: artifacts\training]
[2024-04-21 19:48:57,410: INFO: common: yaml file: D:\newfolder\Kidney-Disease-Classification-Deep-Learning-Project\config\config.yaml loaded successfully]
[2024-04-21 19:48:57,410: INFO: common: yaml file: D:\newfolder\Kidney-Disease-Classification-Deep-Learning-Project\params.yaml loaded successfully]
[2024-04-21 19:48:57,410: INFO: common: created directory at: artifacts]
[2024-04-21 19:48:57,410: INFO: common: created directory at: artifacts\training]
[2024-04-21 19:49:24,060: INFO: common: yaml file: D:\newfolder\Kidney-Disease-Classification-Deep-Learning-Project\config\config.yaml loaded successfully]
[2024-04-21 19:49:24,062: INFO: common: yaml file: D:\newfolder\Kidney-Disease-Classification-Deep-Learning-Project\params.yaml loaded successfully]
[2024-04-21 19:49:24,065: INFO: common: created directory at: artifacts]
[2024-04-21 19:49:24,067: INFO: common: created directory at: artifacts\training]
[2024-04-21 19:50:31,565: INFO: common: yaml file: D:\newfolder\Kidney-Disease-Classification-Deep-Learning-Project\config\config.yaml loaded successfully]
[2024-04-21 19:50:31,574: INFO: common: yaml file: D:\newfolder\Kidney-Disease-Classification-Deep-Learning-Project\params.yaml loaded successfully]
[2024-04-21 19:50:31,577: INFO: common: created directory at: artifacts]
[2024-04-21 19:50:31,580: INFO: common: created directory at: artifacts\training]
[2024-04-21 19:52:19,894: INFO: common: yaml file: D:\newfolder\Kidney-Disease-Classification-Deep-Learning-Project\config\config.yaml loaded successfully]
[2024-04-21 19:52:19,897: INFO: common: yaml file: D:\newfolder\Kidney-Disease-Classification-Deep-Learning-Project\params.yaml loaded successfully]
[2024-04-21 19:52:19,898: INFO: common: created directory at: artifacts]
[2024-04-21 19:52:19,899: INFO: common: created directory at: artifacts\training]
[2024-04-21 19:52:49,485: INFO: common: yaml file: D:\newfolder\Kidney-Disease-Classification-Deep-Learning-Project\config\config.yaml loaded successfully]
[2024-04-21 19:52:49,487: INFO: common: yaml file: D:\newfolder\Kidney-Disease-Classification-Deep-Learning-Project\params.yaml loaded successfully]
[2024-04-21 19:52:49,489: INFO: common: created directory at: artifacts]
[2024-04-21 19:52:49,490: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-04-21 19:52:49,783: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-04-21 19:53:07,805: INFO: common: yaml file: D:\newfolder\Kidney-Disease-Classification-Deep-Learning-Project\config\config.yaml loaded successfully]
[2024-04-21 19:53:07,806: INFO: common: yaml file: D:\newfolder\Kidney-Disease-Classification-Deep-Learning-Project\params.yaml loaded successfully]
[2024-04-21 19:53:07,808: INFO: common: created directory at: artifacts]
[2024-04-21 19:53:07,809: INFO: common: created directory at: artifacts/data_ingestion]
[2024-04-21 19:53:07,810: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1IbGUVXwE4R0kgrk9eC8blUw1LkEIawcF/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-04-21 19:53:13,091: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1IbGUVXwE4R0kgrk9eC8blUw1LkEIawcF/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-04-21 19:57:10,696: INFO: common: yaml file: D:\newfolder\Kidney-Disease-Classification-Deep-Learning-Project\config\config.yaml loaded successfully]
[2024-04-21 19:57:10,696: INFO: common: yaml file: D:\newfolder\Kidney-Disease-Classification-Deep-Learning-Project\params.yaml loaded successfully]
[2024-04-21 19:57:10,701: INFO: common: created directory at: artifacts]
[2024-04-21 19:57:10,703: INFO: common: created directory at: artifacts\training]
[2024-04-21 19:59:31,343: INFO: common: yaml file: D:\newfolder\Kidney-Disease-Classification-Deep-Learning-Project\config\config.yaml loaded successfully]
[2024-04-21 19:59:31,347: INFO: common: yaml file: D:\newfolder\Kidney-Disease-Classification-Deep-Learning-Project\params.yaml loaded successfully]
[2024-04-21 19:59:31,347: INFO: common: created directory at: artifacts]
[2024-04-21 20:03:14,954: INFO: common: yaml file: D:\newfolder\Kidney-Disease-Classification-Deep-Learning-Project\config\config.yaml loaded successfully]
[2024-04-21 20:03:14,956: INFO: common: yaml file: D:\newfolder\Kidney-Disease-Classification-Deep-Learning-Project\params.yaml loaded successfully]
[2024-04-21 20:03:14,956: INFO: common: created directory at: artifacts]
[2024-04-21 20:03:14,960: INFO: common: created directory at: artifacts\training]
[2024-04-21 20:04:26,704: INFO: common: yaml file: D:\newfolder\Kidney-Disease-Classification-Deep-Learning-Project\config\config.yaml loaded successfully]
[2024-04-21 20:04:26,707: INFO: common: yaml file: D:\newfolder\Kidney-Disease-Classification-Deep-Learning-Project\params.yaml loaded successfully]
[2024-04-21 20:04:26,707: INFO: common: created directory at: artifacts]
[2024-04-21 20:04:26,707: INFO: common: created directory at: artifacts/data_ingestion]
[2024-04-21 20:04:26,711: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1IbGUVXwE4R0kgrk9eC8blUw1LkEIawcF/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-04-21 20:04:36,076: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1IbGUVXwE4R0kgrk9eC8blUw1LkEIawcF/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-04-21 20:04:43,875: INFO: common: yaml file: D:\newfolder\Kidney-Disease-Classification-Deep-Learning-Project\config\config.yaml loaded successfully]
[2024-04-21 20:04:43,875: INFO: common: yaml file: D:\newfolder\Kidney-Disease-Classification-Deep-Learning-Project\params.yaml loaded successfully]
[2024-04-21 20:04:43,875: INFO: common: created directory at: artifacts]
[2024-04-21 20:04:43,880: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-04-21 20:04:44,216: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-04-21 20:04:50,117: INFO: common: yaml file: D:\newfolder\Kidney-Disease-Classification-Deep-Learning-Project\config\config.yaml loaded successfully]
[2024-04-21 20:04:50,121: INFO: common: yaml file: D:\newfolder\Kidney-Disease-Classification-Deep-Learning-Project\params.yaml loaded successfully]
[2024-04-21 20:04:50,121: INFO: common: created directory at: artifacts]
[2024-04-21 20:04:50,121: INFO: common: created directory at: artifacts\training]
[2024-04-21 20:05:08,523: INFO: common: yaml file: D:\newfolder\Kidney-Disease-Classification-Deep-Learning-Project\config\config.yaml loaded successfully]
[2024-04-21 20:05:08,525: INFO: common: yaml file: D:\newfolder\Kidney-Disease-Classification-Deep-Learning-Project\params.yaml loaded successfully]
[2024-04-21 20:05:08,525: INFO: common: created directory at: artifacts]
[2024-04-21 20:05:08,525: INFO: common: created directory at: artifacts\training]
[2024-04-21 20:07:16,680: INFO: common: yaml file: D:\newfolder\Kidney-Disease-Classification-Deep-Learning-Project\config\config.yaml loaded successfully]
